1;Aguachile;Aguachile;15.17;9;3;1
2;Bolillos (salty bread);Bolillos (salty bread);16.17;1;3;1
3;Burrito;Burrito;1.26;3;3;1
4;Camote (Mexican sweet potato);Camote (Mexican sweet potato);5.8;7;3;1
5;Cemitas sandwiches;Cemitas sandwiches;9.82;1;3;1
6;Ceviche;Ceviche;15.93;9;3;1
7;Chalupa;Chalupa;4.88;13;3;1
8;Chapulines and escamoles;Chapulines and escamoles;13.19;18;3;1
9;Charales;Charales, small fish, basically a type of smelt;4;13;3;1
10;Chicharrón;Chicharrón;8.32;5;3;1
11;Chilaquiles;Chilaquiles;3.14;1;3;1
12;Chimichangas (Tex-Mex mostly);Chimichangas (Tex-Mex mostly);8.83;1;3;1
13;Choriqueso;Choriqueso;13.38;6;3;1
14;Chorizo;Chorizo;19.43;5;3;1
15;Cochinita pibil;Cochinita pibil;3.88;8;3;1
16;Cocido;Cocido;11.74;11;3;1
17;Cóctel de camarón and other seafood cocktails;Cóctel de camarón and other seafood cocktails;1.4;4;3;1
18;Corunda;Corunda;3.3;7;3;1
19;Curtido;Curtido;13.86;6;3;1
20;Elote;Elote;11.38;16;3;1
21;Enchilada (red or green);Enchilada (red or green);2.91;15;3;1
22;Enfrijoladas;Enfrijoladas;11.14;13;3;1
23;Ensalada de fruta (fruit salad);Ensalada de fruta (fruit salad);14.44;7;3;1
24;Entomatadas;Entomatadas;10.74;9;3;1
25;Fajitas;Fajitas;0.82;3;3;1
26;Filete de pescado;Filete de pescado;12.91;17;3;1
27;Flautas;Flautas;5.16;11;3;1
28;Frijoles charros;Frijoles charros;15.39;19;3;1
29;Fritada;Fritada;5.66;2;3;1
30;Gorditas;Gorditas;8.76;1;3;1
31;Gringas;Gringas;18.99;18;3;1
32;Huauzontles;Huauzontles;11.53;4;3;1
33;Huaraches;Huaraches;16.33;8;3;1
34;Jicama;Jicama;6.08;1;3;1
35;Jocoque;Jocoque;0.61;4;3;1
36;Lengua;Lengua;17.07;12;3;1
37;Lentil soup (lentil beans);Lentil soup (lentil beans);10.9;10;3;1
38;Longaniza;Longaniza;3.35;2;3;1
39;Machaca;Machaca;1.86;6;3;1
40;Mancha manteles;Mancha manteles;11.03;19;3;1
41;Memela;Memela;18.84;19;3;1
42;Menudo;Menudo;3.65;20;3;1
