2;"Bolillos (salty bread)"
3;Burrito
5;Cemitas sandwiches
11;Chilaquiles
12;"Chimichangas (Tex-Mex mostly)"
25;Fajitas
29;Fritada
30;Gorditas
34;Jicama
38;Longaniza
49;Nachos
51;Panucho
62;Salsa
68;Tamales
69;Taquitos
73;Tortillas
79;"Caldo de queso"
95;"Calabacitas con puerco"
121;Salsa
125;"Habanero, chipotle and chimichurrisalsas"
126;"Arroz a la tumbada (rice with seafood)"
133;"Arroz negro (black rice)"
135;"Arroz rojo (red rice)"
138;"Seafood dishes[edit]"
150;"caldo tlalpeño"
153;Menudo
156;"Sopa Azteca"
170;"Frijoles charros"
172;Nopalitos
187;Chocolate
198;Glorias
205;"Mazapán de Cacahuate"
211;"Pan de nata"
212;"Pan dulce"
220;"Tacuarines, Biscochos, or Coricos"
221;"Aguas frescas"
227;Chocolate
235;"Mexican Coke"
237;Pópo
242;"Cerveza, Mexican beers such as Sol and Corona"
